id,type,timingData.startTimeInNanos,timingData.endTimeInNanos,timingData.responseTime,timingData.processingTime,timingData.selfTime,timingData.suspensionTime,timingData.cpuTime,timingData.waitTime,timingData.diskIOTime,timingData.networkIOTime,timingData.syncTime,timingData.totalExecutionTime,purePathsData.infoData.serviceId,purePathsData.infoData.serviceName,purePathsData.infoData.dimension,purePathsData.infoData.callURI,purePathsData.infoData.traceIdHex,purePathsData.infoData.callStartTime,purePathsData.infoData.multiplicity,purePathsData.infoData.failed,purePathsData.infoData.serviceType,purePathsData.infoData.technologyType,purePathsData.infoData.callFlawBits,purePathsData.infoData.anyFlaws,purePathsData.infoData.external,purePathsData.infoData.autoSensorDataExists,purePathsData.infoData.pgName,purePathsData.infoData.pgiName,purePathsData.infoData.pgiId,purePathsData.infoData.serverEntryPoint,purePathsData.timingData.startTimeInNanos,purePathsData.timingData.endTimeInNanos,purePathsData.timingData.responseTime,purePathsData.timingData.processingTime,purePathsData.timingData.selfTime,purePathsData.timingData.suspensionTime,purePathsData.timingData.cpuTime,purePathsData.timingData.waitTime,purePathsData.timingData.diskIOTime,purePathsData.timingData.networkIOTime,purePathsData.timingData.syncTime,purePathsData.databaseData.sqlFetchesPerExecution,purePathsData.databaseData.sqlRowsReturnedPerExecution,purePathsData.childCallsData.callsToDatabases,purePathsData.childCallsData.callsToServices,purePathsData.childCallsData.timeSpentInCallsToDatabases,purePathsData.childCallsData.timeSpentInCallsToServices,purePathsData.requestData.httpCode,purePathsData.requestData.httpCodeValid,purePathsData.requestAttributesData.requestAttributesCount,purePathsData.type,traceData
10108687Z1X70X0X208846661X20260602113122Y0Y0.session,PurePath,1780411074507078000,1780411074507782000,704,704,704,0,662,0,0,0,0,704,SERVICE-9F5C6A85E1BCD5C4,Requests executed in background threads of ws-server.jar brai-srv-empf-restbloq-* /brai-srv-empf-restbloq - corp,http://localhost:5778/,10108687Z1X70X0X208846661X20260602113122Y0Y0.session,545df2e002d36d23266b0b52c7ae0422,1780411074507,1,true,Process,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-84qvs),PROCESS_GROUP_INSTANCE-89B8C79D19ABBA8B,true,1780411074507078000,1780411074507782000,704,704,704,0,662,0,0,0,0,0,0,0,1,0,704,0,false,0,PurePath,,
43938498Z1X20X0X553745907X20260602104904Y0Y0.session,PurePath,1780411072569053000,1780411072569099000,46,46,46,0,43,0,0,0,0,46,SERVICE-20454ECA2019DD09,Ping /brai-srv-empf-restbloq - corp,ping@_@,43938498Z1X20X0X553745907X20260602104904Y0Y0.session,f5da9e7ac5d88774ec64c6f3c1df2674,1780411072569,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-rvcbz),PROCESS_GROUP_INSTANCE-6253C8785CC754B9,true,1780411072569053000,1780411072569099000,46,46,46,0,43,0,0,0,0,0,0,0,0,0,0,0,false,0,PurePath,,
84256468Z1X101X0X352004143X20260602112821Y0Y0.session,PurePath,1780411072147064000,1780411072147808000,744,744,744,0,736,0,0,0,0,744,SERVICE-9F5C6A85E1BCD5C4,Requests executed in background threads of ws-server.jar brai-srv-empf-restbloq-* /brai-srv-empf-restbloq - corp,http://localhost:5778/,84256468Z1X101X0X352004143X20260602112821Y0Y0.session,6f291317372e930a8b6c6225b6bc66b7,1780411072147,1,true,Process,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-r5c52),PROCESS_GROUP_INSTANCE-715A9E4EF292F76E,true,1780411072147064000,1780411072147808000,744,744,744,0,736,0,0,0,0,0,0,0,1,0,744,0,false,0,PurePath,,
38386658Z1X111X0X244031187X20260602104526Y0Y0.session,PurePath,1780411071111056000,1780411071111662000,606,606,606,0,589,0,0,0,0,606,SERVICE-9F5C6A85E1BCD5C4,Requests executed in background threads of ws-server.jar brai-srv-empf-restbloq-* /brai-srv-empf-restbloq - corp,http://localhost:5778/,38386658Z1X111X0X244031187X20260602104526Y0Y0.session,d122bfe6547506264401b4eef94e5f54,1780411071111,1,true,Process,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-xppg6),PROCESS_GROUP_INSTANCE-CC6F93DA5E71C4DC,true,1780411071111056000,1780411071111662000,606,606,606,0,589,0,0,0,0,0,0,0,1,0,606,0,false,0,PurePath,,
45478888Z1X110X0X388657883X20260602113316Y0Y0.session,PurePath,1780411069788060000,1780411069788666000,606,606,606,0,591,0,0,0,0,606,SERVICE-9F5C6A85E1BCD5C4,Requests executed in background threads of ws-server.jar brai-srv-empf-restbloq-* /brai-srv-empf-restbloq - corp,http://localhost:5778/,45478888Z1X110X0X388657883X20260602113316Y0Y0.session,64fb146e21d3d883ce875e60bdd531dd,1780411069788,1,true,Process,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-br7rr),PROCESS_GROUP_INSTANCE-CD32EF9D406465C6,true,1780411069788060000,1780411069788666000,606,606,606,0,591,0,0,0,0,0,0,0,1,0,606,0,false,0,PurePath,,
16700772Z1X45X0X185644689X20260602113107Y0Y0.session,PurePath,1780411068802054000,1780411069074117000,272063,272063,10680,0,6194,265608,0,0,0,271802,SERVICE-464EB54489D67635,Microsserviços que checar restritivos do cliente e Produto (/fini/v1/brai-srv-empf-restbloq),/fini/v1/brai-srv-empf-restbloq/consultaCpfRfb/<masked-digits-oa>@_@/fini/v1/brai-srv-empf-restbloq/consultaCpfRfb/<masked-digits-oa>,16700772Z1X45X0X185644689X20260602113107Y0Y0.session,03f832a15a5e6f2680e57a7b418d50da,1780411068802,1,false,WebRequest,JAVA,0,false,false,true,vshell axway-apitraffic-*,vshell axway-apitraffic-* (axway-apitraffic-cff9b6b74-s4dfz),PROCESS_GROUP_INSTANCE-9CF1A4CCC8A4DB87,false,1780411068802054000,1780411069074117000,272063,272063,10680,0,6194,265608,0,0,0,0,0,0,1,0,266064,200,true,0,PurePath,,
25987473Z1X88X0X1514983281X20260602110455Y0Y0.session,PurePath,1780411068336194000,1780411068433784000,97590,97590,97615,4358,39153,0,0,53780,0,97615,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,checaRestritivos@_@/restritivos,25987473Z1X88X0X1514983281X20260602110455Y0Y0.session,ab98afc0a9789f2767c909f96318b01c,1780411068336,2,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-mpmrk),PROCESS_GROUP_INSTANCE-0CEAA227E4D70B95,false,1780411068336194000,1780411068433784000,97590,97590,97615,4358,39153,0,0,53780,0,0,0,2,1,6902,38199,200,true,2,PurePath,,
57900384Z1X61X0X1855623490X20260602111310Y0Y0.session,PurePath,1780411067966172000,1780411068034259000,68087,68087,68102,3893,37480,0,0,8738,0,68102,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,checaRestritivos@_@/restritivos,57900384Z1X61X0X1855623490X20260602111310Y0Y0.session,5b4ec9e0204fd3ac1471b420d28a75e9,1780411067966,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-xppg6),PROCESS_GROUP_INSTANCE-CC6F93DA5E71C4DC,false,1780411067966172000,1780411068034259000,68087,68087,68102,3893,37480,0,0,8738,0,0,0,2,1,7205,9076,200,true,2,PurePath,,
10746991Z1X59X0X257083464X20260602111355Y0Y0.session,PurePath,1780411067719092000,1780411068011277000,292185,292185,16557,0,8951,283103,0,0,0,292054,SERVICE-464EB54489D67635,Microsserviços que checar restritivos do cliente e Produto (/fini/v1/brai-srv-empf-restbloq),/fini/v1/brai-srv-empf-restbloq/consultaCpfRfb/<masked-digits-oa>@_@/fini/v1/brai-srv-empf-restbloq/consultaCpfRfb/<masked-digits-oa>,10746991Z1X59X0X257083464X20260602111355Y0Y0.session,70d13382e780edbb3cae8133d27357b0,1780411067719,2,false,WebRequest,JAVA,0,false,false,true,vshell axway-apitraffic-*,vshell axway-apitraffic-* (axway-apitraffic-cff9b6b74-ksxcz),PROCESS_GROUP_INSTANCE-5DD9345561DC97B4,false,1780411067719092000,1780411068011277000,292185,292185,16557,0,8951,283103,0,0,0,0,0,0,1,0,283787,200,true,0,PurePath,,
18153349Z1X22X0X48103961X20260602113309Y0Y0.session,PurePath,1780411067244180000,1780411067350242000,106062,106062,63424,0,36906,0,0,26165,0,63424,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,checaRestritivos@_@/restritivos,18153349Z1X22X0X48103961X20260602113309Y0Y0.session,b87c6925270a861498b1fb6e226d7683,1780411067244,4,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-br7rr),PROCESS_GROUP_INSTANCE-CD32EF9D406465C6,false,1780411067244180000,1780411067350242000,106062,106062,63424,0,36906,0,0,26165,0,0,0,2,1,6964,45123,200,true,2,PurePath,,
73217851Z1X7X0X15503876X20260602113608Y0Y0.session,PurePath,1780411067228244000,1780411067299225000,70981,70981,70999,0,33816,0,0,16843,0,70999,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,checaRestritivos@_@/restritivos,73217851Z1X7X0X15503876X20260602113608Y0Y0.session,5d13599e2840a4be084a42b2730dda52,1780411067228,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-wmsq9),PROCESS_GROUP_INSTANCE-07F9E5EC76EDD8C4,false,1780411067228244000,1780411067299225000,70981,70981,70999,0,33816,0,0,16843,0,0,0,2,1,6276,17133,200,true,2,PurePath,,
18083991Z1X88X0X1514983015X20260602110455Y0Y0.session,PurePath,1780411067120193000,1780411067215975000,95782,95782,95805,3016,36601,0,0,57503,0,97120,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,checaRestritivos@_@/restritivos,18083991Z1X88X0X1514983015X20260602110455Y0Y0.session,8486d5171f2832a3ed756898e8c1830f,1780411067120,2,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-rvcbz),PROCESS_GROUP_INSTANCE-6253C8785CC754B9,false,1780411067120193000,1780411067215975000,95782,95782,95805,3016,36601,0,0,57503,0,0,0,2,1,7587,37204,200,true,2,PurePath,,
88986580Z1X67X0X182566292X20260602104310Y0Y0.session,PurePath,1780411066901057000,1780411066901476000,419,419,419,0,409,0,0,0,0,419,SERVICE-9F5C6A85E1BCD5C4,Requests executed in background threads of ws-server.jar brai-srv-empf-restbloq-* /brai-srv-empf-restbloq - corp,http://localhost:5778/,88986580Z1X67X0X182566292X20260602104310Y0Y0.session,6eb27457eb23b00edaad5974ae784de6,1780411066901,1,true,Process,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-59c5b55589-pv6gp),PROCESS_GROUP_INSTANCE-82FA300F76BBFA53,true,1780411066901057000,1780411066901476000,419,419,419,0,409,0,0,0,0,0,0,0,1,0,419,0,false,0,PurePath,,
12369191Z1X59X0X1590651667X20260602111355Y0Y0.session,PurePath,1780411066772190000,1780411067430825000,658635,658635,658635,3843,6471,0,0,648050,0,658635,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,consultaCpfRfb@_@/consultaCpfRfb/<masked>,12369191Z1X59X0X1590651667X20260602111355Y0Y0.session,b7a9284d8918ecdf3f548faa19b7c028,1780411066772,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-mpmrk),PROCESS_GROUP_INSTANCE-0CEAA227E4D70B95,false,1780411066772190000,1780411067430825000,658635,658635,658635,3843,6471,0,0,648050,0,0,0,0,1,0,652223,200,true,2,PurePath,,
17552824Z1X7X0X15503563X20260602113608Y0Y0.session,PurePath,1780411066682154000,1780411066744593000,62439,62439,54631,0,30430,0,0,23406,0,54631,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,checaRestritivos@_@/restritivos,17552824Z1X7X0X15503563X20260602113608Y0Y0.session,3438b7abbd75a500cf5ff2b6e5e69d29,1780411066682,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-446sq),PROCESS_GROUP_INSTANCE-CED887F3C8978DA2,false,1780411066682154000,1780411066744593000,62439,62439,54631,0,30430,0,0,23406,0,0,0,2,1,5121,11206,200,true,3,PurePath,,
12822984Z1X30X0X277629895X20260602111838Y0Y0.session,PurePath,1780411066587098000,1780411066679934000,92836,92836,18305,0,9401,83347,0,0,0,92748,SERVICE-464EB54489D67635,Microsserviços que checar restritivos do cliente e Produto (/fini/v1/brai-srv-empf-restbloq),/fini/v1/brai-srv-empf-restbloq/restritivos@_@/fini/v1/brai-srv-empf-restbloq/restritivos,12822984Z1X30X0X277629895X20260602111838Y0Y0.session,5c0e9a2ecf1b38bb2b6a9d6663fec9f1,1780411066587,2,false,WebRequest,JAVA,0,false,false,true,vshell axway-apitraffic-*,vshell axway-apitraffic-* (axway-apitraffic-cff9b6b74-kvk2v),PROCESS_GROUP_INSTANCE-3FD84C880A236A69,false,1780411066587098000,1780411066679934000,92836,92836,18305,0,9401,83347,0,0,0,0,0,0,1,0,86144,200,true,0,PurePath,,
38522574Z1X20X0X723953242X20260602104904Y0Y0.session,PurePath,1780411066453104000,1780411066453659000,555,555,555,0,533,0,0,0,0,555,SERVICE-9F5C6A85E1BCD5C4,Requests executed in background threads of ws-server.jar brai-srv-empf-restbloq-* /brai-srv-empf-restbloq - corp,http://localhost:5778/,38522574Z1X20X0X723953242X20260602104904Y0Y0.session,2a242ad6e338542737623e00574dc9aa,1780411066453,1,true,Process,WEBSPHERE_LIBERTY,0,false,false,false,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-rvcbz),PROCESS_GROUP_INSTANCE-6253C8785CC754B9,true,1780411066453104000,1780411066453659000,555,555,555,0,533,0,0,0,0,0,0,0,1,0,555,0,false,0,PurePath,,
81223699Z1X101X0X925124488X20260602112821Y0Y0.session,PurePath,1780411066434178000,1780411067236530000,802352,802352,802352,4352,9065,0,0,788593,0,802352,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,consultaCpfRfb@_@/consultaCpfRfb/<masked>,81223699Z1X101X0X925124488X20260602112821Y0Y0.session,13d03994eff680b28fe1febe1fd95544,1780411066434,2,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-r5c52),PROCESS_GROUP_INSTANCE-715A9E4EF292F76E,false,1780411066434178000,1780411067236530000,802352,802352,802352,4352,9065,0,0,788593,0,0,0,0,1,0,793659,200,true,3,PurePath,,
15940621Z1X88X0X1514982749X20260602110455Y0Y0.session,PurePath,1780411066331320000,1780411066424135000,92815,92815,92830,4976,35194,0,0,50379,0,92830,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,checaRestritivos@_@/restritivos,15940621Z1X88X0X1514982749X20260602110455Y0Y0.session,3e05da9db0cef34248a288ea1057bcd1,1780411066331,4,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-wmsq9),PROCESS_GROUP_INSTANCE-07F9E5EC76EDD8C4,false,1780411066331320000,1780411066424135000,92815,92815,92830,4976,35194,0,0,50379,0,0,0,2,1,6666,33952,200,true,2,PurePath,,
14220669Z1X30X0X1341262570X20260602111838Y0Y0.session,PurePath,1780411066318205000,1780411067178384000,860179,860179,13130,3736,9455,0,0,0,0,13191,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,consultaCpfRfb@_@/consultaCpfRfb/<masked>,14220669Z1X30X0X1341262570X20260602111838Y0Y0.session,814000931b1bc9eee45a41abe8fa8011,1780411066318,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-br7rr),PROCESS_GROUP_INSTANCE-CD32EF9D406465C6,false,1780411066318205000,1780411067178384000,860179,860179,13130,3736,9455,0,0,0,0,0,0,0,1,0,850862,200,true,2,PurePath,,
13833462Z1X67X0X3447684804X20260602104310Y0Y0.session,PurePath,1780411066222404000,1780411066309996000,87592,87592,87611,4716,38663,0,0,43832,0,87611,SERVICE-3125E179DD09277C,RestricaoBloqueioController /brai-srv-empf-restbloq - corp,checaRestritivos@_@/restritivos,13833462Z1X67X0X3447684804X20260602104310Y0Y0.session,08381b3ccd604d29347bb66ec3d1ba23,1780411066222,1,false,WebService,WEBSPHERE_LIBERTY,0,false,false,true,ws-server.jar brai-srv-empf-restbloq-*,ws-server.jar brai-srv-empf-restbloq-* (brai-srv-empf-restbloq-fb5854f44-rvcbz),PROCESS_GROUP_INSTANCE-6253C8785CC754B9,false,1780411066222404000,1780411066309996000,87592,87592,87611,4716,38663,0,0,43832,0,0,0,2,1,6650,23843,200,true,2,PurePath,,
